"ROERh1","ROERh2","ROERh3","ROERh4","ROESo1","ROESo2","ROESo3","ROESo4","ROFRh1","ROFRh2","ROFRh3","ROFRh4","ROFSo1","ROFSo2","ROFSo4","RONRh1","RONRh2","RONRh3","RONRh4","RONSo1","RONSo3","RONSo4"
1372,1020,94,15,190,1013,207,582,64,1209,32,379,3304,757,1237,108,228,110,1236,105,111,187
5,11,227,28,38,491,65,406,2019,18,69,6,533,1863,150,0,0,0,0,0,107,6155
144,63,106,3445,96,214,111,4275,392,118,259,107,63,7,39,60,89,45,42,38,48,120
594,266,263,383,1328,418,521,105,442,109,70,750,40,157,62,985,835,1398,1705,167,778,206
165,130,183,2542,849,1653,418,966,516,181,100,180,391,329,140,58,39,34,25,0,53,18
297,588,24,20,51,179,46,176,50,712,15,123,2543,434,972,26,119,27,442,34,81,152
818,987,286,308,587,398,385,122,480,205,71,334,66,201,229,1377,814,204,126,72,282,95
11,0,5,3,0,0,0,0,18,692,4596,116,142,1306,21,506,32,148,0,5,28,5
774,100,8,5,0,0,3,0,2,2711,0,1617,0,40,3,6,566,129,273,4,58,324
0,22,310,109,0,42,112,27,9,56,33,285,51,131,127,768,591,1657,453,133,918,255
193,1653,59,18,39,61,63,84,27,113,29,590,156,199,221,176,121,150,404,36,77,208
265,190,259,20,37,393,355,760,45,41,279,160,170,138,81,1384,77,203,206,127,262,284
0,0,0,0,0,216,42,463,1172,69,26,21,685,576,1055,19,29,13,14,319,47,0
10,461,621,20,342,1033,749,62,80,126,43,292,15,33,281,345,25,8,0,17,31,20
117,49,35,28,115,105,97,8,12,2,1083,651,168,10,113,405,114,763,106,225,186,79
40,446,22,17,36,42,115,43,62,110,12,177,828,416,576,79,93,98,1236,56,75,298
0,64,34,180,0,123,79,246,604,69,79,0,191,204,0,439,281,0,0,968,806,670
26,852,0,11,11,22,16,31,13,13,28,24,0,32,7,152,519,674,667,268,56,547
27,6,32,0,1,4,39,41,0,16,12,136,9,7,104,210,602,290,75,1645,194,509
145,112,634,571,107,236,391,226,41,22,10,68,14,14,17,297,517,172,177,137,293,95
32,2,7,0,129,2,16,3,232,50,139,654,84,38,204,712,113,430,533,136,410,207
881,6,32,11,3,7,35,24,1512,600,272,444,125,408,229,6,17,15,0,8,23,13
8,1,2,0,15,0,3,12,0,37,0,38,27,59,36,282,302,815,2593,171,76,495
9,4,0,9,2,17,3,8,0,7,0,0,0,0,7,958,84,462,151,1616,150,29
222,166,632,240,171,107,134,46,46,37,37,131,10,42,67,80,139,140,273,36,135,48
13,0,0,0,173,0,0,0,0,0,0,309,0,0,774,0,0,549,302,0,0,0
360,36,362,0,1070,189,500,91,6,0,0,0,0,0,0,0,0,0,0,0,0,0
