"ROERh1","ROERh2","ROERh3","ROERh4","ROESo1","ROESo2","ROESo3","ROESo4","ROFRh1","ROFRh2","ROFRh3","ROFRh4","ROFSo1","ROFSo2","ROFSo4","RONRh1","RONRh2","RONRh3","RONRh4","RONSo1","RONSo3","RONSo4"
4001,5698,365,54,767,2371,894,2532,90,4734,140,1881,13682,2142,8601,194,648,525,1269,409,404,949
11,45,879,111,125,1214,313,1931,2636,65,246,38,2399,5013,1081,0,0,0,0,0,350,30889
426,325,456,12447,435,518,496,19341,502,487,992,556,238,21,235,122,253,238,42,117,144,585
1769,1520,1108,1437,5469,948,2344,543,567,427,250,3688,158,462,445,2178,2415,6614,1741,572,2725,1061
493,780,669,9256,3399,3961,1936,4267,664,680,370,788,1685,887,881,109,119,167,25,0,202,94
945,3255,89,76,232,412,221,733,68,2905,52,647,10246,1198,7212,73,375,86,452,114,248,764
2291,5527,1239,1106,2578,992,1663,572,607,863,309,1593,239,506,1618,2834,2475,1011,127,238,937,525
21,0,24,19,0,0,0,0,27,2598,17162,543,555,3651,120,1132,71,662,0,17,95,38
2286,637,30,8,0,0,8,0,3,10023,0,7684,0,106,27,9,1651,673,280,10,212,1686
0,100,1237,391,0,112,476,127,10,200,126,1444,188,404,815,1625,1744,7925,466,611,3083,1473
588,8987,226,67,150,129,274,392,29,409,113,2783,643,519,1613,406,377,765,417,132,257,1060
776,1101,983,58,168,929,1548,3421,56,182,1073,777,606,411,559,3013,259,960,214,491,968,1357
0,0,0,0,0,514,259,2082,1547,215,107,131,2879,1581,7447,47,94,56,15,1232,188,0
23,2573,2508,66,1581,2470,3531,312,113,461,150,1333,48,84,1903,700,81,35,0,63,114,75
338,298,149,100,524,247,386,40,13,9,4370,3096,637,24,719,975,336,3635,111,875,697,348
122,2355,88,55,143,100,582,173,83,423,53,844,3474,1243,3997,155,288,489,1263,222,267,1393
0,247,114,649,0,279,371,1102,824,269,283,0,863,517,0,1000,834,0,0,3597,2691,3262
99,4680,0,49,44,64,74,159,15,37,107,110,0,102,53,328,1573,3211,687,1054,189,2671
79,32,138,0,17,8,168,175,0,49,48,633,50,17,747,482,1798,1235,79,6115,721,2441
393,656,2458,1958,405,542,1799,868,56,105,53,319,71,35,175,588,1503,771,180,477,1044,547
69,31,19,0,598,10,94,16,302,176,503,3050,321,90,1531,1535,317,2000,553,537,1441,1064
2628,39,165,39,29,19,141,99,1932,2297,1012,2180,585,1086,1649,18,42,63,0,33,58,35
20,20,13,0,37,0,21,30,0,162,0,196,91,185,268,594,913,3845,2644,593,263,2557
35,18,7,41,17,37,10,34,0,22,0,0,0,0,43,2063,219,2140,158,6048,544,192
697,999,2700,816,729,272,607,189,58,130,100,590,42,98,411,166,395,668,282,142,476,260
36,0,0,0,706,0,0,0,0,0,0,1418,0,0,5506,0,0,2675,310,0,0,0
1170,164,1489,0,4505,429,2215,383,9,0,0,0,0,0,0,0,0,0,0,0,0,0
33,47,146,96,78,15,45,44,178,384,859,2824,134,111,1013,351,531,1094,103,182,1233,442
61,621,7464,0,1194,285,24,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2165,220,606,677,2521,140,1346,395,18,47,0,0,20,21,73,131,67,93,45,23,194,92
0,0,0,0,0,0,0,0,0,0,8843,0,0,0,0,13,0,7,0,0,0,0
1103,651,1381,420,2123,863,1634,405,0,72,54,60,0,38,0,0,0,0,0,0,0,0
79,331,523,2284,50,223,2169,510,0,0,253,26,0,4,149,211,25,455,0,98,832,544
1222,407,1714,122,1391,1031,2764,69,4,4,0,0,5,3,0,0,0,0,0,0,0,0
395,159,818,384,200,75,650,158,291,188,121,288,109,68,450,424,611,1305,373,191,994,324
58,11,111,7,16,8,156,103,15,28,50,450,26,5,492,256,648,1063,46,2942,533,1525
89,112,46,103,86,121,65,78,0,1151,25,1479,91,374,2828,123,134,155,80,518,521,177
19,822,1657,713,217,428,272,519,7,231,1179,127,450,59,477,148,0,676,0,30,35,45
501,932,230,411,1932,287,981,92,55,132,77,38,0,116,113,153,104,1113,131,66,104,114
214,5636,24,704,244,170,91,111,0,14,0,0,0,144,0,0,0,0,0,0,0,0
3,1111,988,21,691,534,1998,128,41,138,84,460,20,39,693,313,6,10,0,17,22,28
793,322,847,186,2208,272,2172,294,0,49,0,69,9,22,0,0,6,0,3,31,0,26
13,15,0,24,12,10,0,29,5,413,14,488,150,1398,176,251,1196,1253,214,487,573,578
0,88,0,16,0,0,123,0,0,82,0,0,0,196,34,0,292,764,10,766,4482,36
23,82,220,232,38,152,422,424,731,50,230,371,239,96,554,117,113,211,30,838,387,1196
161,151,36,0,8,12,114,397,0,407,0,675,197,1876,2383,0,14,0,0,13,30,51
234,709,51,80,110,290,107,111,0,637,47,123,3115,238,288,0,0,9,54,14,0,35
0,0,0,0,0,0,0,0,0,177,305,1814,223,0,584,147,818,682,249,189,556,304
324,319,485,514,566,228,511,174,112,0,88,253,32,41,53,120,54,370,41,297,982,425
225,383,285,139,71,73,279,191,0,291,74,72,0,98,161,148,390,1969,127,68,348,389
0,0,0,0,0,0,0,0,0,1328,99,704,91,0,2385,0,0,0,135,0,577,396
79,0,0,0,65,0,0,49,269,386,0,130,67,257,1804,51,78,1870,0,0,483,71
0,0,0,6,0,0,0,11,29,149,58,1602,23,196,1455,97,505,251,24,62,823,175
