ID,methanotrophy,acetoclastic_methanogenesis,methanogenesis_by_disproportionation_of_methyl_groups,methanogenesis_using_formate,methanogenesis_by_CO2_reduction_with_H2,methanogenesis_by_reduction_of_methyl_compounds_with_H2,hydrogenotrophic_methanogenesis,methanogenesis,methanol_oxidation,methylotrophy,aerobic_ammonia_oxidation,aerobic_nitrite_oxidation,nitrification,sulfate_respiration,sulfur_respiration,dark_sulfite_oxidation,sulfite_respiration,thiosulfate_respiration,respiration_of_sulfur_compounds,arsenate_detoxification,arsenate_respiration,dissimilatory_arsenate_reduction,arsenite_oxidation_detoxification,arsenite_oxidation_energy_yielding,dissimilatory_arsenite_oxidation,anammox,nitrate_denitrification,nitrite_denitrification,nitrous_oxide_denitrification,denitrification,chitinolysis,knallgas_bacteria,dark_hydrogen_oxidation,nitrogen_fixation,nitrate_ammonification,nitrite_ammonification,nitrite_respiration,cellulolysis,xylanolysis,dark_sulfide_oxidation,dark_sulfur_oxidation,dark_thiosulfate_oxidation,dark_oxidation_of_sulfur_compounds,manganese_oxidation,manganese_respiration,ligninolysis,fermentation,aerobic_chemoheterotrophy,invertebrate_parasites,human_pathogens_septicemia,human_pathogens_pneumonia,human_pathogens_nosocomia,human_pathogens_meningitis,human_pathogens_gastroenteritis,human_pathogens_diarrhea,human_pathogens_all,fish_parasites,human_gut,human_associated,mammal_gut,animal_parasites_or_symbionts,plant_pathogen,oil_bioremediation,aromatic_hydrocarbon_degradation,aromatic_compound_degradation,aliphatic_non_methane_hydrocarbon_degradation,hydrocarbon_degradation,dark_iron_oxidation,iron_respiration,nitrate_respiration,nitrate_reduction,nitrogen_respiration,fumarate_respiration,intracellular_parasites,chlorate_reducers,predatory_or_exoparasitic,chloroplasts,nonphotosynthetic_cyanobacteria,photosynthetic_cyanobacteria,anoxygenic_photoautotrophy_H2_oxidizing,anoxygenic_photoautotrophy_S_oxidizing,anoxygenic_photoautotrophy_Fe_oxidizing,anoxygenic_photoautotrophy,oxygenic_photoautotrophy,photoautotrophy,aerobic_anoxygenic_phototrophy,photoheterotrophy,phototrophy,plastic_degradation,ureolysis,reductive_acetogenesis,chemoheterotrophy
ROERh1,0,0,0,0,0,0,0,0,46,46,144,196,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1236,0,0,0,0,0,0,0,16,0,0,16,0,16,0,0,0,103,0,0,0,0,0,0,0,0,45,0,0,1146,2,113,0,0,0,0,113,113,0,0,113,0,16,0,1282
ROERh2,3,0,0,0,0,0,0,0,124,127,471,586,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29,0,0,51,3700,0,0,0,0,0,0,0,17,0,0,17,0,17,0,0,0,228,0,3,0,0,0,0,0,0,107,0,145,1382,9,24,0,0,0,0,24,24,0,0,24,0,116,0,3878
ROERh3,0,0,0,0,0,0,0,0,114,114,182,373,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,3328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,155,0,6,1303,0,188,0,0,0,0,188,188,0,0,188,0,85,0,3461
ROERh4,0,0,0,0,0,0,0,0,30,30,143,507,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,51,2562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,24,60,24,0,111,0,103,161,7,0,0,0,0,0,0,0,0,0,0,0,180,0,2633
ROESo1,0,0,0,0,0,0,0,0,45,45,47,792,839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,149,1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,153,11,11,0,0,0,0,0,0,139,0,55,1162,0,8,0,0,0,0,8,8,0,0,8,0,0,0,2132
ROESo2,0,0,0,0,0,0,0,0,0,0,59,326,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,0,0,0,0,0,0,0,0,130,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577
ROESo3,0,0,0,0,0,0,0,0,0,0,108,335,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4,0,0,0,0,11,0,9,0,0,9,0,0,0,111,3366,0,0,0,0,0,0,0,232,0,0,232,0,232,0,0,22,305,22,99,0,0,391,391,391,0,149,0,11,1166,16,572,0,0,0,0,572,572,0,0,572,0,20,4,3524
ROESo4,0,0,0,0,0,0,0,0,0,0,98,59,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2159,0,0,0,0,0,0,0,8,0,0,8,0,8,0,0,27,95,13,196,0,0,0,0,0,0,121,0,70,242,0,29,0,0,0,0,29,29,0,0,29,0,8,0,2358
ROFRh1,0,0,0,0,0,0,0,0,72,72,150,454,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,11,0,0,0,0,0,0,0,0,133,2129,0,0,0,0,0,0,0,23,0,0,23,0,23,0,0,0,158,0,0,0,0,0,35,0,0,147,0,44,1852,0,1069,0,0,0,0,1069,1069,0,19,1088,0,241,0,2315
ROFRh2,0,0,0,0,0,0,0,0,133,133,216,347,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,21,0,0,0,0,65,0,0,0,0,0,0,0,0,1491,3569,0,0,0,0,0,0,0,97,0,0,97,0,97,0,0,0,184,0,0,0,0,0,0,0,0,143,0,0,3663,0,395,0,0,0,0,395,395,0,54,449,0,209,0,5152
